impurity,formula,elements,isos,counts,rank,mass,mz,abundance
1,C₃H₅⁺,C|H,natural|natural,3|5,1,41.03912516115,41.03857658124093,100.0
1,C₃H₅⁺,C|H,natural|natural,3|5,2,42.042480161149996,42.04193158124093,3.2447184878196698
1,C₃H₅⁺,C|H,natural|natural,3|5,3,42.04540216115,42.044853581240936,0.057506613260524954
2,C¹³C₂H₃D₂⁺,C|C|H|H,natural|13|natural|2,1|2|3|2,1,45.05838832307,45.05783974316093,100.0
2,C¹³C₂H₃D₂⁺,C|C|H|H,natural|13|natural|2,1|2|3|2,2,46.06174332307,46.06119474316093,1.0815728292732234
3,C₂¹³CH₂D₃⁺,C|C|H|H,natural|13|natural|2,2|1|2|3,1,45.06131023389,45.06076165398093,100.0
3,C₂¹³CH₂D₃⁺,C|C|H|H,natural|13|natural|2,2|1|2|3,2,46.06466523389,46.06411665398093,2.163145658546447
4,C¹³C₂H₄D⁺,C|C|H|H,natural|13|natural|2,1|2|4|1,1,44.05211157718,44.051562997270935,100.0
4,C¹³C₂H₄D⁺,C|C|H|H,natural|13|natural|2,1|2|4|1,2,45.05546657718,45.054917997270934,1.0815728292732234
5,C₂¹³CH₃D₂⁺,C|C|H|H,natural|13|natural|2,2|1|3|2,1,44.055033488,44.054484908090934,100.0
5,C₂¹³CH₃D₂⁺,C|C|H|H,natural|13|natural|2,2|1|3|2,2,45.058388488,45.05783990809093,2.1631456585464472
6,C₃H₂D₃⁺,C|H|H,natural|natural|2,3|2|3,1,44.05795539882,44.057406818910934,100.0
6,C₃H₂D₃⁺,C|H|H,natural|natural|2,3|2|3,2,45.06131039882,45.06076181891093,3.2447184878196698
7,C¹³C₂H₅⁺,C|C|H,natural|13|natural,1|2|5,1,43.045834831289994,43.04528625138093,100.0
7,C¹³C₂H₅⁺,C|C|H,natural|13|natural,1|2|5,2,44.04918983128999,44.04864125138093,1.0815728292732234
7,C¹³C₂H₅⁺,C|C|H,natural|13|natural,1|2|5,3,44.05211183129,44.051563251380934,0.057506613260524954
8,C₂¹³CH₄D⁺,C|C|H|H,natural|13|natural|2,2|1|4|1,1,43.04875674211,43.048208162200936,100.0
8,C₂¹³CH₄D⁺,C|C|H|H,natural|13|natural|2,2|1|4|1,2,44.05211174211,44.051563162200935,2.1631456585464472
9,C₃H₃D₂⁺,C|H|H,natural|natural|2,3|3|2,1,43.05167865293,43.051130073020936,100.0
9,C₃H₃D₂⁺,C|H|H,natural|natural|2,3|3|2,2,44.05503365293,44.054485073020935,3.2447184878196706
10,C₂¹³CH₅⁺,C|C|H,natural|13|natural,2|1|5,1,42.042479996219996,42.04193141631093,100.0
10,C₂¹³CH₅⁺,C|C|H,natural|13|natural,2|1|5,2,43.045834996219995,43.04528641631093,2.1631456585464472
10,C₂¹³CH₅⁺,C|C|H,natural|13|natural,2|1|5,3,43.04875699622,43.048208416310935,0.057506613260524954
11,C₃H₄D⁺,C|H|H,natural|natural|2,3|4|1,1,42.04540190704,42.04485332713094,100.0
11,C₃H₄D⁺,C|H|H,natural|natural|2,3|4|1,2,43.04875690704,43.048208327130936,3.2447184878196698
