m/z,intensity
846.808000,2.22940000e+05
846.812000,6.28460000e+04
885.048000,1.18269000e+05
885.050000,1.27364000e+05
885.054000,4.46380000e+04
904.792000,3.31570000e+04
904.794000,1.90000000e+03
904.798000,8.00100000e+03
1055.634000,9.00000000e+00
1055.638000,1.21220000e+05
1055.640000,7.55600000e+03
1055.642000,7.60900000e+03
1250.254000,6.21480000e+04
1250.256000,5.83530000e+04
1250.258000,1.69300000e+04
1250.474000,2.03900000e+03
1250.476000,1.63500000e+04
1250.478000,2.43500000e+04
1250.480000,2.86800000e+03
1250.694000,2.02900000e+03
1250.696000,8.56100000e+03
1250.698000,1.75280000e+04
1250.700000,6.72200000e+03
1250.914000,4.31500000e+03
1250.916000,2.90630000e+04
1250.918000,4.96180000e+04
1250.920000,2.01690000e+04
1250.922000,1.24430000e+04
1250.924000,7.56200000e+03
1251.132000,1.16040000e+04
1251.134000,6.20000000e+03
1251.136000,3.30670000e+04
1251.138000,4.10830000e+04
1251.140000,2.80980000e+04
1251.142000,2.87360000e+04
1251.144000,5.70900000e+03
1251.150000,5.84800000e+03
1251.356000,5.84100000e+03
1251.360000,1.24610000e+04
1258.808000,7.69400000e+03
1258.810000,6.14000000e+03
1258.812000,4.60500000e+03
1262.300000,2.49200000e+03
1262.302000,6.29500000e+03
1397.242000,5.51400000e+03
1397.248000,1.45340000e+04
1397.250000,7.01000000e+03
1397.254000,2.20100000e+03
1397.506000,3.16900000e+03
1397.508000,1.25700000e+03
1397.510000,1.65160000e+04
1397.512000,9.69600000e+03
1397.514000,2.54360000e+04
1397.516000,1.28550000e+04
1397.518000,4.55200000e+03
1397.772000,7.55400000e+03
1397.774000,9.57300000e+03
1397.776000,2.24610000e+04
1397.778000,1.93600000e+03
1398.038000,2.34900000e+03
1398.042000,2.35700000e+03
1443.056000,2.94100000e+03
1443.058000,4.96700000e+03
1443.062000,1.19900000e+03
1443.312000,4.24750000e+04
1443.314000,3.18430000e+04
1443.316000,8.28600000e+03
1443.568000,3.38140000e+04
1443.570000,2.21640000e+04
1443.822000,8.65600000e+03
1443.824000,2.93380000e+04
1443.826000,4.79900000e+03
