m/z,intensity
0.429500,1.35792400e+06
474.744100,6.35330000e+04
474.744200,6.46620000e+04
790.578600,2.50000000e+02
790.578800,8.35000000e+03
846.808200,5.23710000e+04
846.808600,6.31950000e+04
846.808700,1.16668000e+05
846.808800,3.98400000e+04
846.809300,2.83960000e+04
846.812900,6.28460000e+04
863.966900,6.64700000e+03
885.047400,5.99690000e+04
885.048600,6.13940000e+04
885.049400,6.83600000e+03
885.049500,4.12420000e+04
885.049600,1.01853000e+05
885.049700,1.79320000e+04
885.049800,1.64440000e+04
885.050300,3.33110000e+04
885.050400,6.50810000e+04
885.050600,6.30300000e+03
885.050700,1.07580000e+04
885.050900,6.49440000e+04
885.051000,2.72190000e+04
885.051200,6.83400000e+03
885.051300,6.70800000e+03
885.051400,6.06730000e+04
885.051900,6.71500000e+03
885.052000,2.71700000e+03
885.052100,6.88000000e+03
885.052500,3.49930000e+04
885.052700,1.89500000e+03
885.052900,6.48260000e+04
885.053000,4.01670000e+04
885.053200,4.04700000e+03
885.054800,5.88490000e+04
904.791400,3.31570000e+04
904.794100,9.00000000e+00
904.794800,6.90400000e+03
904.794900,9.00000000e+00
904.795000,6.45800000e+03
904.795200,1.36060000e+04
904.795400,1.33300000e+04
904.795600,9.00000000e+00
904.796000,6.65300000e+03
904.796300,6.63100000e+03
904.797000,9.00000000e+00
904.797100,6.63600000e+03
904.797300,9.00000000e+00
904.797700,1.31610000e+04
904.798700,6.89300000e+03
904.799300,6.38140000e+04
1055.634700,9.00000000e+00
1055.638100,1.05030000e+04
1055.638400,9.00000000e+00
1055.638500,7.08600000e+03
1055.638700,5.75360000e+04
1055.638800,5.65890000e+04
1055.638900,9.00000000e+00
1055.639400,9.00000000e+00
1055.639700,8.42000000e+02
1055.639900,6.70500000e+03
1055.642000,9.46000000e+02
1055.642200,6.64600000e+03
1055.642600,9.00000000e+00
1055.642700,6.65400000e+03
1250.253100,5.44650000e+04
1250.253700,2.70000000e+01
1250.253900,9.04000000e+02
1250.254000,9.00000000e+00
1250.254400,6.64800000e+03
1250.254600,1.14600000e+03
1250.254900,6.51900000e+03
1250.255000,1.83230000e+04
1250.255100,1.59500000e+03
1250.255300,9.93000000e+02
1250.255500,9.68000000e+02
1250.255600,1.02100000e+03
1250.255700,1.80000000e+01
1250.255800,6.64400000e+03
1250.255900,1.64300000e+03
1250.256000,6.76100000e+03
1250.256100,6.73200000e+03
1250.256300,6.65700000e+03
1250.256400,1.07400000e+03
1250.256500,9.00000000e+00
1250.256700,6.83000000e+03
1250.256800,7.07700000e+03
1250.257000,7.74000000e+03
1250.257200,6.70800000e+03
1250.257500,1.03600000e+03
1250.257700,9.00000000e+00
1250.258200,1.39800000e+03
1250.258400,7.56000000e+03
1250.258500,6.64000000e+03
1250.258700,9.00000000e+00
1250.474000,9.00000000e+00
1250.474100,9.00000000e+00
1250.474800,2.03000000e+03
1250.475000,9.00000000e+00
1250.475200,2.79900000e+03
1250.475300,3.57600000e+03
1250.475400,1.23800000e+03
1250.475500,1.09700000e+03
1250.475600,2.65100000e+03
1250.476000,6.90100000e+03
1250.476300,9.00000000e+00
1250.476600,1.20000000e+03
1250.476700,9.07000000e+02
1250.476800,9.00000000e+00
1250.476900,1.91900000e+03
1250.477000,1.27650000e+04
1250.477200,3.44500000e+03
1250.477500,1.40100000e+03
1250.477700,1.11200000e+03
1250.477900,1.70700000e+03
1250.478000,6.00000000e+00
1250.478100,1.50000000e+03
1250.478200,2.41400000e+03
1250.478400,9.16000000e+02
1250.478500,9.00000000e+00
1250.478900,1.71400000e+03
1250.479300,1.53200000e+03
1250.480100,9.00000000e+00
1250.480300,1.32700000e+03
1250.694300,9.87000000e+02
1250.694600,1.04200000e+03
1250.694800,1.16300000e+03
1250.695200,1.00800000e+03
1250.695400,2.01200000e+03
1250.695500,1.39100000e+03
1250.695600,1.02800000e+03
1250.696100,1.06500000e+03
1250.696400,3.82000000e+03
1250.696500,1.35500000e+03
1250.696800,1.27400000e+03
1250.696900,2.19800000e+03
1250.697300,1.02500000e+03
1250.697400,3.50400000e+03
1250.697500,5.00000000e+00
1250.697600,1.44100000e+03
1250.697800,1.01500000e+03
1250.697900,1.18200000e+03
1250.698000,1.08100000e+03
1250.698400,9.00000000e+00
1250.698500,1.95900000e+03
1250.698600,1.85800000e+03
1250.698700,1.04600000e+03
1250.698800,3.25200000e+03
1250.698900,1.16600000e+03
1250.699000,1.21100000e+03
1250.699100,9.99000000e+02
1250.699300,2.00100000e+03
1250.699500,1.09000000e+03
1250.699600,1.48200000e+03
1250.700100,2.76600000e+03
1250.700300,8.76000000e+02
1250.700700,9.91000000e+02
1250.912900,2.57400000e+03
1250.914600,4.31500000e+03
1250.915400,3.09200000e+03
1250.915600,3.93800000e+03
1250.915800,5.27500000e+03
1250.916100,3.74800000e+03
1250.916200,3.31600000e+03
1250.916300,3.93600000e+03
1250.916500,4.98600000e+03
1250.916600,3.85400000e+03
1250.916800,6.60500000e+03
1250.917200,1.35310000e+04
1250.917300,4.24100000e+03
1250.917400,6.67800000e+03
1250.917500,3.55200000e+03
1250.917900,3.59000000e+03
1250.918000,3.45200000e+03
1250.918100,4.42400000e+03
1250.918200,3.87000000e+03
1250.918400,4.64900000e+03
1250.918600,3.63400000e+03
1250.918700,5.13400000e+03
1250.918900,7.04500000e+03
1250.919000,5.74400000e+03
1250.919100,3.42100000e+03
1250.919800,3.24400000e+03
1250.919900,3.86800000e+03
1250.920000,3.71800000e+03
1250.920300,4.23500000e+03
1250.920700,4.04200000e+03
1250.921600,3.55000000e+03
1250.922000,8.89300000e+03
1250.924500,7.56200000e+03
1251.131400,5.65000000e+03
1251.132100,5.95400000e+03
1251.134400,3.30600000e+03
1251.134700,6.20000000e+03
1251.135100,4.20400000e+03
1251.135900,6.59000000e+03
1251.136000,7.75900000e+03
1251.136100,1.28670000e+04
1251.136800,1.22200000e+04
1251.137000,6.55500000e+03
1251.137300,4.41900000e+03
1251.137700,1.31170000e+04
1251.138100,3.89700000e+03
1251.138400,5.70500000e+03
1251.138500,4.81300000e+03
1251.138800,1.12870000e+04
1251.139200,4.06000000e+03
1251.139400,5.47600000e+03
1251.139500,4.33500000e+03
1251.139800,6.04800000e+03
1251.140000,6.83100000e+03
1251.140100,5.86400000e+03
1251.140200,4.25800000e+03
1251.140500,5.02000000e+03
1251.140600,4.77700000e+03
1251.141200,4.72400000e+03
1251.141300,7.06900000e+03
1251.141400,4.76200000e+03
1251.141700,6.73100000e+03
1251.142400,5.45000000e+03
1251.143500,5.70900000e+03
1251.145400,5.53500000e+03
1251.150700,5.84800000e+03
1251.355800,5.84100000e+03
1251.359700,5.52600000e+03
1251.359800,6.93500000e+03
1251.362000,5.02100000e+03
1251.362800,5.02000000e+03
1258.807600,3.90100000e+03
1258.807800,3.79300000e+03
1258.809100,4.68000000e+03
1258.809300,6.14000000e+03
1258.811500,4.60500000e+03
1262.299400,2.49200000e+03
1262.301200,6.29500000e+03
1397.242200,5.51400000e+03
1397.247200,5.96600000e+03
1397.247300,5.74300000e+03
1397.247400,2.82500000e+03
1397.249200,7.01000000e+03
1397.253600,2.20100000e+03
1397.505100,4.51700000e+03
1397.505300,3.16900000e+03
1397.508500,1.25700000e+03
1397.508700,4.25200000e+03
1397.509200,3.33800000e+03
1397.509700,2.93000000e+03
1397.509800,5.62200000e+03
1397.510000,5.62400000e+03
1397.510600,5.27000000e+03
1397.511900,1.19900000e+03
1397.512900,8.49700000e+03
1397.513000,3.41200000e+03
1397.513400,4.19300000e+03
1397.513500,8.58900000e+03
1397.514000,2.42700000e+03
1397.514300,1.54120000e+04
1397.515100,4.51600000e+03
1397.515400,3.09500000e+03
1397.516300,5.24400000e+03
1397.517300,4.55200000e+03
1397.518000,2.25900000e+03
1397.771500,3.32300000e+03
