m/z,intensity
0.429505,6.45640000e+04
885.050375,6.50810000e+04
904.794850,6.90400000e+03
1055.639405,9.00000000e+00
1250.258443,1.03600000e+03
1250.475461,1.09700000e+03
1250.698757,1.45800000e+03
1250.918924,3.68900000e+03
1251.140014,6.83100000e+03
1397.773508,6.63600000e+03
1443.314064,3.34800000e+03
1443.568170,1.89100000e+03
1443.824133,1.07400000e+03
1444.078173,1.21890000e+04
1444.333317,1.81980000e+04
1444.593060,1.63570000e+04
1452.935899,9.97700000e+03
1767.542214,4.47300000e+03
2560.766783,2.89800000e+03
2560.858351,9.65000000e+02
2560.947281,9.61000000e+02
2561.036465,1.93600000e+03
2561.127813,1.93700000e+03
2561.138963,2.97500000e+03
2561.226453,2.76500000e+03
2561.322047,7.32000000e+02
2561.423736,1.07800000e+03
2561.505208,3.55900000e+03
2561.519995,1.78200000e+03
2561.608729,1.45800000e+03
2561.708279,6.78000000e+02
2561.799453,1.47000000e+03
2561.888547,1.43500000e+03
2561.986941,1.51800000e+03
2562.078836,3.38800000e+03
2562.272621,1.57400000e+03
2562.366839,1.47200000e+03
2562.654142,1.94900000e+03
2562.841152,1.74500000e+03
