m/z,intensity
787.486000,1.88500000e+03
846.812000,1.81050000e+04
885.048000,6.01340000e+04
885.050000,1.24497000e+05
885.052000,1.06775000e+05
904.794000,7.01800000e+03
904.798000,1.56220000e+04
904.800000,6.62800000e+03
1055.634000,6.61200000e+03
1055.638000,9.71100000e+03
1055.640000,9.00000000e+00
1055.642000,6.49800000e+03
1248.486000,1.17350000e+04
1248.488000,2.95180000e+04
1248.490000,1.29890000e+04
1248.492000,3.77050000e+04
1248.706000,1.44500000e+03
1248.708000,1.27350000e+04
1248.710000,3.55640000e+04
1248.712000,7.40100000e+03
1248.928000,7.22600000e+03
1248.930000,2.01700000e+04
1248.932000,9.06100000e+03
1248.934000,9.97000000e+02
1249.150000,2.98670000e+04
1249.152000,7.42160000e+04
1249.154000,2.30570000e+04
1249.156000,3.47600000e+03
1249.368000,7.12200000e+03
1249.370000,1.56070000e+04
1249.372000,6.70320000e+04
1249.374000,4.41140000e+04
1249.376000,6.47870000e+04
1249.378000,7.06500000e+03
1249.590000,1.83420000e+04
1249.592000,6.48800000e+03
1249.594000,2.32470000e+04
1249.596000,1.13500000e+04
1249.598000,1.85350000e+04
1249.600000,1.22240000e+04
1249.606000,5.27500000e+03
1249.810000,7.71100000e+03
1257.054000,2.63200000e+03
1257.056000,4.24000000e+03
1257.270000,9.68800000e+03
1257.274000,4.55300000e+03
1257.496000,4.47100000e+03
1260.332000,1.60000000e+03
1260.542000,1.70800000e+03
1441.270000,2.81250000e+04
1441.272000,8.21840000e+04
1441.274000,3.89960000e+04
1441.526000,9.99600000e+03
1441.528000,7.67650000e+04
1441.530000,9.29000000e+03
1441.782000,2.06290000e+04
1441.784000,3.17700000e+04
1441.786000,3.17100000e+03
1442.036000,1.41880000e+04
1442.038000,2.74500000e+05
1442.040000,1.24531000e+05
1442.042000,1.29680000e+04
1442.164000,2.15800000e+04
1442.288000,2.05950000e+04
1442.292000,4.86430000e+04
1442.294000,4.39901000e+05
1442.296000,1.75387000e+05
1442.300000,1.87050000e+04
1442.448000,2.25290000e+04
1442.542000,1.82550000e+04
1442.544000,5.58500000e+04
1442.546000,8.99090000e+04
1442.548000,1.61814000e+05
1442.550000,1.28493000e+05
1442.552000,7.93550000e+04
1442.554000,3.40190000e+04
1442.556000,1.87210000e+04
1442.558000,2.73280000e+04
1442.568000,1.27270000e+04
1442.798000,2.20120000e+04
1442.800000,5.18150000e+04
1442.802000,1.31970000e+04
1442.804000,3.90970000e+04
1442.806000,5.20640000e+04
1442.808000,3.51740000e+04
1442.814000,1.51810000e+04
1442.820000,5.96700000e+03
1442.956000,7.47500000e+03
1442.958000,9.68000000e+02
1442.964000,6.09100000e+03
1442.966000,3.30100000e+03
1442.976000,7.93500000e+03
1443.212000,3.39000000e+03
1443.216000,1.62880000e+04
1443.218000,7.15200000e+03
1443.220000,2.53200000e+03
1443.222000,8.17400000e+03
1443.224000,8.66900000e+03
1443.226000,6.03100000e+03
1443.228000,5.89700000e+03
1443.232000,1.53910000e+04
1443.234000,1.84400000e+04
1443.490000,7.45900000e+03
1447.116000,4.97030000e+04
1447.120000,1.56940000e+04
1447.122000,7.78200000e+03
1447.368000,1.32340000e+04
1447.370000,8.88000000e+02
1447.372000,8.32900000e+03
1447.374000,1.55460000e+04
1447.626000,7.08300000e+03
1450.908000,2.23200000e+03
1450.910000,7.39800000e+03
1450.912000,6.89100000e+03
1450.918000,7.24500000e+03
1451.160000,9.70000000e+02
1451.162000,1.43440000e+04
1451.164000,1.88750000e+04
1451.166000,2.77520000e+04
1451.168000,1.56060000e+04
1451.414000,3.42100000e+03
1451.416000,9.80400000e+03
1451.418000,1.39700000e+03
1451.420000,3.48000000e+03
1451.422000,3.28800000e+03
1451.668000,3.34700000e+03
1451.670000,7.59000000e+02
1451.672000,4.24000000e+02
1451.674000,7.59000000e+03
1454.946000,4.42400000e+03
1454.948000,5.66200000e+03
1454.950000,6.14400000e+03
1454.952000,2.51000000e+03
1454.958000,1.01200000e+03
1455.200000,3.20800000e+03
1455.202000,3.57000000e+03
1455.204000,1.42530000e+04
1455.206000,1.09000000e+03
1455.208000,9.09000000e+02
1455.448000,8.54000000e+02
1455.452000,1.15000000e+03
1455.454000,2.29200000e+03
1764.724000,8.86000000e+02
1764.726000,1.98500000e+03
1764.728000,1.77800000e+03
1764.734000,1.44900000e+03
1765.038000,3.47300000e+03
1765.040000,3.21800000e+03
1765.042000,7.90500000e+03
1765.044000,1.53700000e+03
1765.046000,2.90500000e+03
1765.048000,2.69600000e+03
1765.052000,1.09100000e+03
1765.348000,1.14900000e+03
1765.350000,1.00100000e+03
1765.352000,1.78100000e+03
1765.356000,5.55400000e+03
1765.358000,2.51200000e+03
1765.364000,1.68200000e+03
1765.366000,9.56000000e+02
1765.368000,9.20000000e+02
1765.664000,9.52000000e+02
2560.382000,1.08200000e+03
2560.456000,1.07900000e+03
2560.580000,1.32600000e+03
2560.592000,4.81000000e+02
2560.600000,3.47700000e+03
2560.624000,5.19000000e+02
2560.652000,3.60000000e+01
2560.666000,2.36000000e+02
2560.678000,9.41000000e+02
2560.742000,9.35000000e+02
2560.750000,5.05100000e+03
2560.758000,1.42700000e+03
2560.806000,3.41000000e+02
2560.838000,1.49900000e+03
