m/z,intensity
0.429500,1.32767800e+06
424.415400,3.47930000e+04
474.744000,3.15180000e+04
474.744300,4.98400000e+03
744.407600,3.11450000e+04
744.407700,6.39240000e+04
787.486300,1.88500000e+03
790.578700,2.51200000e+03
790.578900,3.06580000e+04
790.579400,5.87260000e+04
844.450800,3.21200000e+03
844.459100,2.33500000e+03
846.807900,6.83100000e+03
846.808400,1.47760000e+04
846.808500,4.27380000e+04
846.809300,4.14100000e+03
846.812300,1.81050000e+04
859.706500,3.40870000e+04
863.967100,8.01200000e+03
885.048100,5.75600000e+03
885.048300,4.59350000e+04
885.048800,8.44300000e+03
885.049100,6.60300000e+03
885.049400,6.60400000e+03
885.049600,6.49300000e+03
885.050000,1.79640000e+04
885.050100,6.56790000e+04
885.050400,1.34700000e+04
885.050500,1.32200000e+04
885.050700,6.30330000e+04
885.050800,3.30570000e+04
885.050900,1.23100000e+03
885.051000,1.45700000e+04
885.051100,7.80250000e+04
885.051200,4.87440000e+04
885.051300,1.55990000e+04
885.051400,6.40000000e+03
885.051500,1.27900000e+04
885.051600,8.58600000e+03
885.051800,8.74100000e+03
885.052000,6.01170000e+04
885.052400,1.15055000e+05
885.052800,6.59700000e+03
885.052900,6.66800000e+03
885.053200,1.32810000e+04
886.296700,9.00000000e+00
886.297000,9.00000000e+00
904.793500,6.48900000e+03
904.793700,9.00000000e+00
904.794100,6.81900000e+03
904.794200,9.00000000e+00
904.794500,6.73500000e+03
904.794900,6.73200000e+03
904.795000,9.61000000e+02
904.795100,9.20000000e+02
904.795300,6.81300000e+03
904.795700,9.00000000e+00
904.796100,9.00000000e+00
904.796200,1.31220000e+04
904.796400,9.00000000e+00
904.796500,6.79900000e+03
904.796700,6.68300000e+03
904.797200,9.00000000e+00
904.797500,9.00000000e+00
904.798500,6.73100000e+03
904.798800,6.81700000e+03
904.799000,1.33500000e+04
904.799100,9.00000000e+00
904.799300,1.79800000e+03
990.866200,9.94000000e+02
1055.634800,6.61200000e+03
1055.638100,9.00000000e+00
1055.638300,6.61600000e+03
1055.638700,1.01300000e+03
1055.638800,1.12300000e+03
1055.638900,9.50000000e+02
1055.639900,9.00000000e+00
1055.642300,6.48900000e+03
1055.643000,9.00000000e+00
1248.485500,9.00000000e+00
1248.485700,6.85600000e+03
1248.485800,9.00000000e+00
1248.485900,1.00500000e+03
1248.486400,9.02000000e+02
1248.486500,1.82700000e+03
1248.486900,2.02000000e+03
1248.487000,1.26800000e+03
1248.487100,1.07000000e+03
1248.487600,9.00000000e+00
1248.487700,6.73200000e+03
1248.488000,9.00000000e+00
1248.488100,1.18700000e+03
1248.488200,6.74300000e+03
1248.488300,2.11500000e+03
1248.488500,9.00000000e+00
1248.488600,1.77390000e+04
1248.488800,2.60700000e+03
1248.489100,1.80000000e+01
1248.489400,3.10000000e+03
1248.489600,1.55900000e+03
1248.489700,1.79400000e+03
1248.489900,7.05400000e+03
1248.490100,9.00000000e+00
1248.490200,9.00000000e+00
1248.490600,9.00000000e+00
1248.490800,1.02300000e+03
1248.491300,1.14700000e+03
1248.491500,8.24800000e+03
1248.492100,1.02700000e+03
1248.492500,2.94570000e+04
1248.704500,2.04800000e+03
1248.706200,9.00000000e+00
1248.706800,1.43600000e+03
1248.707000,1.74700000e+03
1248.707200,9.00000000e+00
1248.707500,2.83800000e+03
1248.707600,9.00000000e+00
1248.707900,1.20400000e+03
1248.708200,3.59600000e+03
1248.708600,2.69000000e+03
1248.708700,1.85400000e+03
1248.708900,1.83700000e+03
1248.709000,1.58700000e+03
1248.709300,8.94000000e+02
1248.709400,1.04000000e+03
1248.709600,9.00000000e+00
1248.709800,2.36000000e+03
1248.709900,2.08600000e+03
1248.710000,1.78120000e+04
1248.710100,3.50300000e+03
1248.710200,1.73100000e+03
1248.710300,2.78100000e+03
1248.710400,6.00000000e+00
