m/z,intensity
0.429504,6.21020000e+04
885.051952,6.01170000e+04
904.798545,6.73100000e+03
1248.487570,9.00000000e+00
1248.710569,1.51800000e+03
1248.931677,1.26800000e+03
1249.151248,4.29500000e+03
1249.375332,7.27000000e+03
1249.590540,4.75000000e+03
1257.053730,2.63200000e+03
1260.332191,1.60000000e+03
1441.273587,9.48000000e+02
1441.528162,1.64100000e+03
1441.783474,1.31000000e+03
1442.038226,1.27560000e+04
1442.294266,1.95680000e+04
1442.550549,1.73600000e+04
1442.808071,1.02580000e+04
1451.166639,5.62100000e+03
1451.668862,3.34700000e+03
1455.203506,9.12000000e+02
1765.042785,9.24000000e+02
2560.780306,1.15000000e+03
2560.869646,9.77000000e+02
2561.055180,1.02700000e+03
2561.071424,1.36500000e+03
2561.145224,2.05800000e+03
2561.349198,1.37600000e+03
2561.625660,6.08000000e+02
2561.638310,1.69400000e+03
2561.720139,1.05800000e+03
2561.906764,7.81000000e+02
