m/z,intensity
0.429504,1.65630000e+04
390.499130,1.15180000e+04
442.206117,6.60800000e+03
444.688182,9.00000000e+00
445.929274,2.79500000e+03
447.161721,9.95000000e+02
462.809226,1.53290000e+04
465.204264,1.19800000e+03
492.947576,1.82500000e+03
495.180370,1.19500000e+03
497.397914,3.00800000e+03
498.508367,7.70500000e+03
501.693714,3.90500000e+03
533.621477,1.82100000e+03
537.771772,9.38000000e+02
555.914261,7.40200000e+03
555.962099,6.17400000e+03
559.858289,1.46600000e+03
559.908887,1.39600000e+03
561.827005,3.75700000e+03
563.783541,2.09840000e+04
565.783866,1.61000000e+03
584.961359,1.46400000e+03
586.812818,1.00300000e+03
601.687766,1.14000000e+03
612.559286,6.39000000e+03
617.900109,2.52100000e+03
632.070106,2.74100000e+03
635.542241,5.32900000e+03
637.279391,9.82000000e+02
639.003780,1.37400000e+03
642.436921,1.84410000e+04
709.650989,1.12100000e+03
712.830717,6.27300000e+03
714.383850,2.35000000e+03
738.080521,1.63800000e+03
755.825338,1.21320000e+04
757.292299,1.25900000e+03
777.943301,6.44500000e+03
779.364195,1.26700000e+03
783.009044,4.89900000e+03
794.236889,1.02280000e+04
795.622428,2.06000000e+03
797.001638,2.16800000e+03
798.385697,6.30500000e+03
799.763926,3.22700000e+03
801.137791,4.59740000e+04
814.793421,6.24100000e+03
814.822985,3.70700000e+03
816.153770,1.18100000e+03
827.431109,1.19200000e+03
838.006998,1.36400000e+03
839.327155,1.77200000e+03
850.826131,1.44800000e+03
851.854731,1.38970000e+04
854.436519,3.69600000e+03
861.000812,2.81800000e+03
861.390150,8.40600000e+03
863.966416,8.38000000e+02
865.246551,2.18700000e+03
866.525163,1.41400000e+03
881.621448,3.23370000e+04
885.054691,7.57000000e+03
894.041890,1.20600000e+03
902.248605,1.87700000e+03
904.795016,1.07400000e+03
949.596160,2.08400000e+03
983.215356,1.84000000e+03
984.338535,1.38300000e+03
986.190349,1.28500000e+03
988.422750,1.07560000e+04
988.542398,2.91900000e+03
996.077673,3.55600000e+03
1001.638049,1.32900000e+03
1031.021218,1.19700000e+03
1031.964067,1.30500000e+03
1031.979720,8.96000000e+02
1032.088555,5.93700000e+03
1033.156820,2.19000000e+03
1036.216891,2.12300000e+03
1037.283179,1.90700000e+03
1040.456178,1.66800000e+03
1048.164415,4.43800000e+03
1049.983967,2.17600000e+03
1051.018543,1.61800000e+03
1051.036368,8.82000000e+02
1052.070434,2.45300000e+03
1055.195310,1.49700000e+03
1072.833136,2.22800000e+03
1074.880237,1.17400000e+03
1075.906278,1.58800000e+03
1076.931631,2.05300000e+03
1077.956115,1.77780000e+04
1078.968861,8.24900000e+03
1079.989729,4.13400000e+03
1093.193553,1.34200000e+03
1116.155000,5.80900000e+03
2560.535119,1.64800000e+03
2560.793808,1.01200000e+03
2561.058699,1.71900000e+03
2561.072402,1.23100000e+03
2561.088679,1.78200000e+03
2561.355415,5.68000000e+02
2561.643053,9.75000000e+02
